文件测试  	测试操作符提供的信息
-r 	文件或目录可读
-w 	文件或目录可写
-x 	文件或目录执行
-o 	文件或目录归用户所有
-R 	文件或目录对真正用户可读
-W 	文件或目录对真正用户可写
-X 	文件或目录对真正用户执行
-O 	文件或目录归真正用户所有
-e 	文件或目录存在
-z 	文件存在且大小为0
-s 	文件或目录存在且不为0(返回字节数)
-f 	文件为普通文件
-d 	文件为目录
-l 	文件为符号链接
-p 	文件为命名管道(FIFO)
-S 	文件为一个套口(socket)
-b 	文件为块特殊文件
-c 	文件为字符特殊文件
-t 	打开tty控制台的文件句柄
-u 	文件或目录是设置用户ID号
-g 	文件或目录是设置用户组ID号
-k 	文件或目录的sticky位置位
-T 	文件是文本文件
-B 	文件是二进制文件
-M 	以天为单位的存在时间
-A 	以天为单位访问时间
-C 	以天为单位同代码更改时间
